branch,v10_06_00_01p01,v10_06_00_04p04,n_files_present
recTree/rec.opflashes.width.y,1,1,2
recTree/rec.opflashes.width.z,1,1,2
recTree/rec.pass_flashtrig,1,1,2
recTree/rec.reco.hit..length,1,1,2
recTree/rec.reco.hit.RMS,1,1,2
recTree/rec.reco.hit.cryoID,1,1,2
recTree/rec.reco.hit.integral,1,1,2
recTree/rec.reco.hit.peakAmplitude,1,1,2
recTree/rec.reco.hit.peakTime,1,1,2
recTree/rec.reco.hit.planeID,1,1,2
recTree/rec.reco.hit.spacepoint.ID,1,1,2
recTree/rec.reco.hit.spacepoint.XYZ.x,1,1,2
recTree/rec.reco.hit.spacepoint.XYZ.y,1,1,2
recTree/rec.reco.hit.spacepoint.XYZ.z,1,1,2
recTree/rec.reco.hit.spacepoint.chisq,1,1,2
recTree/rec.reco.hit.spacepoint.pfpID,1,1,2
recTree/rec.reco.hit.tpcID,1,1,2
recTree/rec.reco.hit.wireID,1,1,2
recTree/rec.reco.nhit,1,1,2
recTree/rec.reco.npfp,1,1,2
recTree/rec.reco.nstub,1,1,2
recTree/rec.reco.pfp..length,1,1,2
recTree/rec.reco.pfp.cnnscore.endmichel,1,1,2
recTree/rec.reco.pfp.cnnscore.michel,1,1,2
recTree/rec.reco.pfp.cnnscore.nclusters,1,1,2
recTree/rec.reco.pfp.cnnscore.noise,1,1,2
recTree/rec.reco.pfp.cnnscore.shower,1,1,2
recTree/rec.reco.pfp.cnnscore.track,1,1,2
recTree/rec.reco.pfp.daughters,1,1,2
recTree/rec.reco.pfp.daughters..idx,1,1,2
recTree/rec.reco.pfp.daughters..length,1,1,2
recTree/rec.reco.pfp.daughters..totarraysize,1,1,2
recTree/rec.reco.pfp.id,1,1,2
recTree/rec.reco.pfp.ndaughters,1,1,2
recTree/rec.reco.pfp.ngscore.bkg_frac,1,1,2
recTree/rec.reco.pfp.ngscore.dif_frac,1,1,2
recTree/rec.reco.pfp.ngscore.hip_frac,1,1,2
recTree/rec.reco.pfp.ngscore.mhl_frac,1,1,2
recTree/rec.reco.pfp.ngscore.mip_frac,1,1,2
